1	longitude	latitude	housename	housenumber	street	city	postcode	name	name_cy	is_in	place	alt_name	open_hours	phone	shop	url
48	-4.6577012	52.0830469						Stand E	Safle E							
49	-4.6585941	52.083166	Council Offices		Morgan Street	Cardigan / Aberteifi	SA43 1DG	Cardigan Library	Llyfrgell Aberteifi					+44 1545 574110		http://libraries.ceredigion.gov.uk
50	-4.6621069	52.0818424						Cardigan Food Bank						+44 1239 615864		http://newlifewales.org.uk/ministries/cardigan-foodbank/
51	-4.6525708	52.0859859						Bro Teifi								
52	-4.660563	52.0842395						Ship Inn (Guild Hall)								
53	-4.6581603	52.0857869						Arwyn Jones								
54	-4.6611592	52.0810578						Chain Links								
55	-4.6868555	52.1041545						A Bay To Remember								
56	-4.6818184	52.0892151						Glanfa Glanteifon Slipway	Glanfa Glanteifon							
57	-4.6815161	52.0890775						A Bay To Remember								
58	-4.6988417	52.105563						A Bay To Remember								
59	-4.6610852	52.0828862		29A	High Street	Cardigan / Aberteifi	SA43 1JG	His & Hers						+44 1239 613102		
60	-4.6609465	52.0832798						Oriel Gallery						+44 1239 621370	art	http://www.awenteifi.com/english/oriel.htm
61	-4.6604614	52.0825005						Mirror Image								
62	-4.6593257	52.0854861		"3, Heathfield"	Pendre	Cardigan / Aberteifi	SA43 1JT	Principality								
63	-4.659544	52.0853427		23	Pendre	Cardigan / Aberteifi	SA43 1JT							+44 1239 612400	chemist	
64	-4.6596344	52.0854042		23	Pendre	Cardigan / Aberteifi	SA43 1JT	Caerleon Pharmacy	Fferyllfa Caerleon					+44 1239 612400		
65	-4.6596151	52.0853008	Cwrt Y Grug	22	Pendre	Cardigan / Aberteifi	SA43 1JT	Thorntons						+44 1239 614888	chocolate	
66	-4.6601742	52.0815924						Eisteddfod Chair								
67	-4.6612549	52.0813568						Eisteddfod Memorial Plaque								
68	-4.6604082	52.0813988						Whalebone arch								
69	-4.6611362	52.0821056		37	High Street	Cardigan / Aberteifi	SA43 1HE	Oojufink						+44 1239 615215	hairdresser	
70	-4.6611449	52.0821547		37	High Street	Cardigan / Aberteifi	SA43 1HE	Cat Action Trust						+44 1994 205020	charity	http://www.catactiontrust.org.uk/index.php/our-branches/carmarthen-branch
71	-4.6605074	52.0811948						South-East Tower								
72	-4.6601908	52.0815967						East (Garderobe) Tower								
73	-4.6600919	52.0817814						North-East Bastion								
74	-4.6826805	52.0819592												+44 1239 612466		
75	-4.6792609	52.0805424						St Dogmael								
76	-4.6584185	52.0832085						Council Offices	Swyddfa Sir							
77	-4.6587038	52.0855934						Jobcentre	Canolfanbyd							
78	-4.6582978	52.0858576						Coleg Ceredigion								
79	-4.6522196	52.0878518						Aldi								
80	-4.6529122	52.0875966						Roman Catholic Church	Swyddfa Sir							
81	-4.6599479	52.0813728						Strand								
82	-4.6511279	52.0871758						Aldi (Rear)								
83	-4.6564589	52.0796096		5		Cardigan / Aberteifi	SA43 3AG	L D Furniture						+44 1239 758239	furniture	
84	-4.6563672	52.0797208		5		Cardigan / Aberteifi	SA43 3AG	The Salon						+44 1239 758239	hairdresser	https://www.facebook.com/The-Salon-cardigan-446193545470806/
85	-4.6640599	52.0664248													laundry	
86	-4.6557155	52.078312		4		Cardigan / Aberteifi	SA43 3AL	Middleton Kitchens and Bathrooms						+44 1239 613413	kitchen;bathroom_furnishing	
87	-4.655525	52.0783417		4		Cardigan / Aberteifi	SA43 3AL	Garador Garage Doors						+44 1239 613413	hardware	http://www.lbsbm.co.uk/pdfs/garador-leaflet.pdf
88	-4.6819879	52.0888062						The Mermaid of St Dogmaels								
89	-4.6821569	52.0881535						Argo Villa								
90	-4.6807263	52.1275442						Gwebert animal farm and seals								
91	-4.7174153	52.0975685						Bryn Garazim Chapel								
92	-4.65732	52.084769						Cardigan CP School / Ashleigh Surgery								
93	-4.6820465	52.0887545						The Moorings	Glanteifion							
94	-4.6981353	52.1039402						Poppit Sands	Traeth Poppit							
95	-4.6600524	52.0908341						Maesydderwen								
96	-4.6547963	52.0879121						Cardigan Secondary School (side gate)								
97	-4.6551193	52.0872702						Cardigan Secondary School (main gate)								
98	-4.7611296	52.0786589						Ceibwr Bay								
99	-4.6573274	52.0768214						The Ridgeway								
100	-4.6571354	52.0769208						The Ridgeway								
101	-4.6562411	52.0795707		5		Cardigan / Aberteifi	SA43 3AG	Dolls House Shop						+44 7875 801403	toys	https://www.facebook.com/dollshousecardigan/?fref=gc&dti=572973822805527&hc_location=ufi
102	-4.6569019	52.0774904												+44 1239 612621		
103	-4.6610933	52.0840891	Canolfan Teifi & Shopping Arcade	2	Pendre	Cardigan / Aberteifi	SA43 1JL	Age Cymru Ceredigion						+44 1239 615777		https://www.ageuk.org.uk/cymru/ceredigion/
104	-4.6611147	52.0840478	Canolfan Teifi & Shopping Arcade	2	Pendre	Cardigan / Aberteifi	SA43 1JL									
105	-4.6581684	52.1342216						Pen yr Hwbyn								
106	-4.6515023	52.1337576						Ogof Filast				Ogof Filiast				
107	-4.6908795	52.1321116						Cardigan Island / Ynys Aberteifi	Ynys Aberteifi		islet					https://www.welshwildlife.org/nature-reserve/cardigan-island-gwbert-ceredigion/
108	-4.669355	52.0695489						Fishguard Road								
109	-4.6577903	52.0831516						Finch's Square								
110	-4.6585234	52.0800349						Station Road	Heol y Gorsaf							
111	-4.661295	52.0837628						College Row	Rhes Coleg							
112	-4.6591884	52.0826892						Morgan Street	Stryd Morgan							
113	-4.6598104	52.0835561						Stryd y Priordy	Stryd y Priordy							
114	-4.6607884	52.0810201						Bridge Street								
115	-4.6606164	52.0803523						Cardigan Bridge								
116	-4.6581182	52.0854791						Napier Street	Heol Napier							
117	-4.6497729	52.0876904						Maes-Henffordd								
118	-4.6544788	52.0816254						Pont y Priordy / Priory Bridge	Pont y Priordy							
119	-4.6781439	52.0814412						St. Dogmaels Street								
120	-4.6576151	52.0816182						Afon Teifi	Afon Teifi							
121	-4.6549116	52.0883581						Gwbert Road								
122	-4.6451429	52.0969681						Afon Mwldan								
123	-4.635388	51.9800824						Whitland & Cardigan Railway				Cardi Bach				
124	-4.6607236	52.0993231						Ystâd-y-Gotrel								
125	-4.6613673	52.0995011						Ystâd-y-Gotrel								
126	-4.6525845	52.1039962						Verwig Road	Heol y Ferwig							
127	-4.6552929	52.0870407						Victoria Gardens								
128	-4.66219	52.081907						Stryd y Cei	Stryd y Cei							
129	-4.6563567	52.0864647						North Road	Heol y Gogledd							
130	-4.6527205	52.0880791						Greenland Meadows								
131	-4.6557141	52.0908874						Cnwc y Dintir								
132	-4.6538793	52.0899605						Park Avenue								
133	-4.6816935	52.0829307						Maeshyfryd								
134	-4.6809992	52.0829101						Feidr Fach								
135	-4.681366	52.0814545						Church Lane								
136	-4.6781669	52.0808857						David Street	Heol Dewi							
137	-4.6790285	52.080197						Shingrig								
138	-4.6839647	52.0818572						Allt Fach								
139	-4.6578193	52.0766781						The Ridgeway								
140	-4.6581121	52.0766896						The Ridgeway								
141	-4.6510393	52.0869228						Bryn Hafod								
142	-4.6611227	52.0864176						Bath House Road								
143	-4.6603838	52.086287						Llys Owen								
144	-4.6616894	52.0822245						Lôn Farchnad / Market Lane	Lôn Farchnad							
145	-4.6568867	52.079398						Pentood Industrial Estate								
146	-4.6523854	52.085856						Bro Teifi								
147	-4.6521722	52.084999						Heol Hafod								
148	-4.660525	52.08239						St. Mary Street	Stryd y Santes Fair							
149	-4.657772	52.081238						Riverside Walk								
150	-4.6587033	52.0820397						Strand								
151	-4.6631335	52.0822617			Lower Mwldan		SA43 1HA								vacant	
152	-4.6611371	52.084534						Upper Mwldan	Mwldan Uchaf							
153	-4.6574164	52.0825318						Church Street								
154	-4.6553302	52.0827633						Cardigan Hospital	Ysbyty Aberteifi							
155	-4.6615269	52.0844394						Greenfield Square Car Park								
156	-4.662975	52.0828905						Afon Mwldan								
157	-4.6576745	52.0822807						Gloster Row								
158	-4.6605259	52.0853353						Afon Mwldan								
159	-4.6591964	52.0845887		30	Feidrfair	Cardigan	SA43 1EB	Cardigan Health Centre	Ganolfan Iechyd Aberteifi					+44 1239 612021		http://www.wales.nhs.uk/sites3/home.cfm?orgid=583
160	-4.6585419	52.0855772	Crown Buildings		Napier Street	Cardigan / Aberteifi	SA43 1EF	Jobcentreplus						0845 604 3719		
161	-4.6576911	52.0846776			Napier Street		SA43 1ED	Citizens Advice Bureau						+44 1239 621974		
162	-4.657649	52.0841035			Williams Terrace	Cardigan / Aberteifi	SA43 1EJ	Fairfield Car Park								
163	-4.659394	52.084153						William Street	Stryd Wiliam							
164	-4.6597438	52.0837617						Williams Row	Rhes Gwilym							
165	-4.6546976	52.0807083						Riverside walk								
166	-4.6575951	52.075923						The Ridgeway								
167	-4.6575439	52.0766905						The Ridgeway								
168	-4.6772008	52.0856641						Old Castle Road								
169	-4.6630326	52.0844426						Greenfield Row								
170	-4.6625031	52.0853217						Bron-y-Dre								
171	-4.659556	52.0784041						Golwg-y-Castell								
172	-4.6598929	52.0787415						Golwg-y-Castell								
173	-4.6589988	52.0777009						Golwg-y-Castell								
174	-4.6732819	52.074947						Bryngwyn								
175	-4.6732819	52.074947						Bryngwyn								
176	-4.6769711	52.0781789						Awel-yr-Mor								
177	-4.6769711	52.0781789						Awel-y-Mor								
178	-4.6820983	52.0795408						Ffordd y Cwm								
179	-4.6726796	52.0752379						Longdown Street								
180	-4.6912365	52.0838641						Pen-y-Rhiw								
181	-4.6592225	52.0825259						St. Mary Street								
182	-4.6595766	52.0857831						Bingham Lane								
183	-4.659713	52.082417						St. Mary Street								
184	-4.6613106	52.0849162						Greenfield Square								
185	-4.6568034	52.0853662						Napier Gardens								
186	-4.652077	52.0868704						Rhos-y-Dre								
187	-4.6593079	52.0829778						Pwllhai								
188	-4.654626	52.0859882						Maes-yr-Haf								
189	-4.6606057	52.0830165						Chancery Lane	Lôn Siawnsri							
190	-4.6616681	52.0828565						Ebens Lane	Lôn Ebens							
191	-4.660201	52.081278						Strand								
192	-4.6584848	52.0823703						St. Mary Street	Stryd y Santes Fair							
193	-4.659664	52.082139						Carrier's Lane								
194	-4.665471	52.0862378						Old Castle Road								
195	-4.6830514	52.0816448						High Street								
196	-4.6827373	52.0819126						Feidr Fawr								
197	-4.6795465	52.082144						High Street Car Park								
198	-4.6918545	52.0741015						Cwm Degwell								
199	-4.6832703	52.0812869						Baptist Street								
200	-4.683128	52.0851939						Pilot Street								
201	-4.6767055	52.0801272						Maesmynach								
202	-4.6827358	52.0864188						River Hill				River Hill Cottages				
203	-4.6789563	52.0812431						Mill Street								
204	-4.6767055	52.0801272						Maesmynach								
205	-4.6823538	52.0836401						Maes Hyfryd								
206	-4.6802962	52.0818192						High Street								
207	-4.6794885	52.1039067						Coronation Drive								
208	-4.6834908	52.0832825						Parc Noi								
209	-4.6834908	52.0832825						Parc Noi								
210	-4.6840175	52.0894872						Nant y Berllan				Glanteifion				
211	-4.6835586	52.0889737						The Moorings								
212	-4.679278	52.0816886						Finch Street								
213	-4.6839768	52.0807235						Tan-y-Rhiw								
214	-4.6829918	52.0885739						The Moorings								
215	-4.6512665	52.0932406						Melin-y-Coed								
216	-4.6557574	52.0916564						Maesycoed								
217	-4.652775	52.0915571						Maesglas								
218	-4.6607347	52.0919236						Maesydderwen								
219	-4.6532896	52.090735						Maesglas								
220	-4.650813	52.0927484						Maes Y Felin								
221	-4.6501657	52.0900869						Y-Rhos								
222	-4.6598133	52.0909881						Melin y Dre								
223	-4.6561651	52.0917817						Maesycoed								
224	-4.6529091	52.092213						Grove Park								
225	-4.6600926	52.0917613						Maes Y-Dderwen								
226	-4.6523623	52.0888321						Maesglas								
227	-4.6589491	52.0913945						Melin-Y-Dre								
228	-4.661272	52.091685						Maesydderwen								
229	-4.6576883	52.0914133						Clos Llyn Y Felin								
230	-4.6559912	52.091898						Maesycoed								
231	-4.6612743	52.081909						High Street	Stryd Fawr							
232	-4.657939	52.084293						Williams Terrace	Heol Napier							
233	-4.6625022	52.0830285						Middle Mwldan								
234	-4.662818	52.082151						Lower Mwldan								
235	-4.6677472	52.0813606										Brynonnen				
236	-4.6578385	52.1151239						Clos y Gwyddil								
237	-4.6965771	52.1043485						Poppit Sands								
238	-4.6765394	52.1132798						Clwb Golff Aberteifi / Cardigan Golf Club	Clwb Golff Aberteifi							
239	-4.6606667	52.0798528						Castle Street								
240	-4.6815217	52.0819197						High Street								
241	-4.6785035	52.0795968						David Street	Heol Dewi							
242	-4.6798059	52.0813729						Church Street								
243	-4.6611238	52.0811269						Bridge Street	Heol y Bont							
244	-4.6783841	52.0799459						David Street	Heol Dewi							
245	-4.6768617	52.0797209						Mwtshwr								
246	-4.6741538	52.101815						Gwbert Road								
247	-4.6860505	52.1158665						Coronation Drive								
248	-4.6846911	52.1132303						Coronation Drive								
249	-4.6690971	52.0864621						Old Castle Road								
250	-4.6734507	52.0864833						Old Castle Road								
251	-4.6651496	52.0827535						Netpool Road								
252	-4.6605838	52.0802333						Castle Street	Heol y Castell							
253	-4.6989788	52.1040225						Poppit Sands Car Park								
254	-4.6603149	52.0799495						Castle Street								
255	-4.6561472	52.0827744						Santes Fair / St Mary's	Eglwys y Santes Fair							
256	-4.6643372	52.0821578						Quay Street Car Park								
257	-4.6587863	52.0847838						Feidrfair								
258	-4.6607163	52.0839181						Pendre								
259	-4.658271	52.083217						Priory Street								
260	-4.6837297	52.1169007						Riversmouth								
261	-4.6854191	52.1164576						Tradewinds								
262	-4.6829257	52.0872413						Union Terrace								
263	-4.6831907	52.0867038						Pentre Langwm								
264	-4.6995722	52.1047625						Cardigan Lifeboat Station								
265	-4.6999236	52.1043664				Poppit Sands	SA43 3LN	Poppit Sands Beach Cafe & Shop						+44 1239 623530		
266	-4.6607382	52.0863965						Bathhouse Car Park								
267	-4.661112	52.086333						Bath House Road								
268	-4.6588397	52.0874122						Council Yard								
269	-4.6607502	52.0828191						Black Lion Mews								
270	-4.7020267	52.0997629						Cardigan Bay Holiday Park								
271	-4.6829021	52.0859139						Capel Degwel								
272	-4.6575449	52.0831272						Finch's Square								
273	-4.6700379	52.0599783						Ffos Colic								
274	-4.6619314	52.0605514						Afon Piliau								
275	-4.6511688	52.0732355						Afon Piliau								
276	-4.6529945	52.1164804	Tan Y Fron			Y Ferwig	SA43 1PZ									
277	-4.6545422	52.1146187				Y Ferwig	SA43 1PX	St Pedrog								https://www.churchinwales.org.uk/structure/places/churches/?id=2961
278	-4.6528147	52.1150559				Y Ferwig	SA43 1PZ	Capel Siloam	Capel Siloam							https://www.coflein.gov.uk/en/site/7234/details/siloam-baptist-chapel-ferwig
279	-4.6557324	52.0841922			Stryd Napier		SA43 1EH	Cardigan Community Primary School	Ysgol Gynradd Gymunedol Aberteifi							
280	-4.656688	52.088751			Park Place	Cardigan / Aberteifi	SA43 1AN	Cardigan Leisure Centre	Canolfan Hamdden Teifi					+44 1239 621287		http://www.ceredigionactif.org.uk/cardigan.html
281	-4.6572456	52.0885596			Plas y Parc / Park Place	Cardigan / Aberteifi	SA43 1AD	Ysgol Aberteifi / Cardigan County Secondary School	Ysgol Aberteifi							
282	-4.6558021	52.0863925	North End Stores	63-65	North Road	Cardigan / Aberteifi	SA43 1LS	Spar						+44 1239 612551	convenience	https://www.spar.co.uk/store-locator/afb16714-spar-cardigan
283	-4.6517263	52.087554			Aberystwyth Road		SA43 1NA	ALDI							supermarket	https://www.aldi.co.uk/store/s-uk-E0583
284	-4.6652184	52.0839581						Maes Radley Sports Fields	Caeau Chwarae Maes Radley							
285	-4.6648801	52.0830417						Cardigan Cemetery								
286	-4.6609901	52.0890388						Bath-House Road								
287	-4.6624182	52.0870075						Bath-House Road								
288	-4.6607904	52.0857399						Bath House Road								
289	-4.6612601	52.0854753						Bath House Road								
290	-4.717653	52.0585807						Trefigin Quarry								
291	-4.6824006	52.0933985						Cormorant House								
292	-4.6824042	52.0933042						Grebe Cottage								
293	-4.6823944	52.0932172						Curlew Cottage								
294	-4.6822226	52.0932148						Glanteifi								
295	-4.6822713	52.0931504						The Mallards								
296	-4.6817577	52.0890619						The Moorings								
297	-4.7210349	52.1006864						Bryn Salem (Disused)								
298	-4.7324722	52.1100682						Old Coastguard Lookout								
299	-4.6806994	52.0810427			Church Street	St Dogmaels	SA43 3EB	St Thomas' Church								https://parish.churchinwales.org.uk/d871/churches-en/st-thomas-st-dogmaels_-en/https://parish.churchinwales.org.uk/d871/churches-en/st-thomas-st-dogmaels_-en/
300	-4.679121	52.0808079						Mill Pond								
301	-4.6794307	52.0805464	The Vicatage Stables		Shingrig	St Dogmaels	SA43 3DX									
302	-4.6803539	52.0805433						St Dogmaels Abbey								
303	-4.6861444	52.1165923						Gwbert Hotel								
304	-4.6877183	52.1182548	The Cliff Hotel		Coronation Drive	Gwbert	SA43 1PP	The Cliff Hotel & Spa						+44 1239 613241		
305	-4.6862804	52.1299878						Wide Rock / Carreg Lydan	Carreg Lydan		islet					
306	-4.6610224	52.1332775									islet					
307	-4.6549445	52.0870289						Bandstand								
308	-4.7703443	52.0711304						Pwll y Wrach								
309	-4.6551699	52.0856311	Moorfield		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
310	-4.6564704	52.0856115	Inchcape House	5	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
311	-4.6555844	52.0858764	Redmayne	10	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
312	-4.655404	52.0855778	Moryan		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
313	-4.6562081	52.0856862	Bryn-yr-haul	6	Napier Gardens		SA43 1EG									
314	-4.6559372	52.0854287	Llys Helig		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
315	-4.6553026	52.085961	Karenza	12	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
316	-4.6561885	52.0853612	Trecennydd		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
317	-4.6548202	52.0854364	Y Wenallt		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
318	-4.6564475	52.0852934	Cefn Coed		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
319	-4.6560155	52.0857519	Westwood	7	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
320	-4.6556237	52.0855122	Craigsilian		Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
321	-4.6558409	52.085833	Coedllannau	8	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
322	-4.6527177	52.087322			North Road / Heol y Gogledd	Cardigan / Aberteifi	SA43 1LT	Mair o Aberteifi / Our Lady of the Taper	Mair o Aberteifi							
323	-4.658434	52.08611						North Road								
324	-4.658392	52.0803801			Station Road	Cardigan / Aberteifi	SA43 3AD	Marchnad Anifeiliaid Aberteifi / Cardigan Cattle Market	Marchnad Anifeiliaid Aberteifi							
325	-4.6580058	52.0805229			Station Road	Cardigan / Aberteifi	SA43 3AD	JJ Morris Auctioneer						+44 1239 613228		http://www.jjmorris.com/agricultural.php
326	-4.6567183	52.0807576			Station Road	Cardigan / Aberteifi	SA43 3AD	JJ & PT Williams & Sons						+44 1239 612896		
327	-4.6565455	52.0808885						Station Yard	Iard y Gorsaf							
328	-4.6570835	52.0808702			Station Road	Cardigan / Aberteifi	SA43 3AD	JT's Garage Services						+44 1239 621139	car_repair	https://www.facebook.com/JtsGarageServices/https://www.facebook.com/JtsGarageServices/https://www.facebook.com/JtsGarageServices/
329	-4.6560848	52.081098			"Station Yard, Station Road"	Cardigan / Aberteifi	SA43 3AD	Brethyn Cartref								
330	-4.6555554	52.0810939			"Station Yard, Station Road"	Cardigan / Aberteifi	SA43 3AD	KE Movers				Ceredigion Removals		+44 800 5975757	storage_rental	
331	-4.6557666	52.0811105		"12, Station Yard"	Station Road	Cardigan / Aberteifi	SA43 3AD	KE Movers				Ceredigion Removals		+44 800 5975757		
332	-4.6587134	52.0798149	Arfryn Flat		Station Road	Cardigan / Aberteifi	SA43 3AD									
333	-4.6585881	52.0798765	O'r Diwedd		Station Road	Cardigan / Aberteifi	SA43 3AD									
334	-4.6584076	52.0799721	Brynafon		Station Road	Cardigan / Aberteifi	SA43 3AD									
335	-4.659575	52.0795222		12	Castle Street	Cardigan / Aberteifi	SA43 3AF	D J Jenkins								
336	-4.6592567	52.0791845	Awelfryn	19	Castle Street	Cardigan / Aberteifi	SA43 3AF									
337	-4.6599674	52.0795224		20	Castle Street	Cardigan / Aberteifi	SA43 3AB	Country WDC						+44 1239 841891		
338	-4.6549879	52.0810032						Iard y Gorsaf / Station Yard	Iard y Gorsaf							
339	-4.6611856	52.0838064	Menter Aberteifi			Cardigan / Aberteifi	SA43 1JL	Menter Aberteifi								
340	-4.660976	52.0838316	Cardigan Guildhall			Cardigan / Aberteifi	SA43 1JL	Cardigan Guildhall								
341	-4.6609073	52.0840047		1	Pendre	Cardigan / Aberteifi	SA43 1JR	Coffee #1						+44 1239 614134		https://www.coffee1.co.uk/locations/cardigan/
342	-4.6802183	52.0826524						St Dogmaels Football								
343	-4.6809656	52.0836027						Alexandra Gardens								
344	-4.679398	52.0808175						Abbey Parking								
345	-4.680202	52.0819954						St Dogmaels Car Park Toilets								
346	-4.6820099	52.0825208		25-26	Maeshyfryd	St Dogmaels	SA43 3ES	St Dogmaels Memorial Hall								
347	-4.68135	52.0828787						Ysgol Llandudoch School								
348	-4.7257954	52.1111476	Alltycoed			Poppit	SA43 3LP	Alltycoed						+44 1239612673		
349	-4.6551174	52.0833446						Pont-y-Cleifion								
350	-4.6575364	52.082843						Finch's Square								
351	-4.6575197	52.0827745						St Mary Street								
352	-4.6593256	52.0824229						St. Mary Street	Stryd y Santes Fair							
353	-4.710172	52.1063599	Sea View			Poppit	SA43 3LP	YHA Poppit Sands						+44 345 371 9037		
354	-4.6603729	52.0778351						Awel yr Afon								
355	-4.6576072	52.078013						Tenby Road								
356	-4.6573353	52.0854636						Pavilion Court								
357	-4.6608904	52.0857041						Afon Mwldan								
358	-4.6573309	52.0853735		1	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
359	-4.6571849	52.0853982		2	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
360	-4.6572412	52.0854623		3	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
361	-4.6572938	52.0855176		4	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
362	-4.6573436	52.0855745		5	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
363	-4.6573938	52.0856272		6	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
364	-4.6574513	52.0856778		7	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
365	-4.6575542	52.0856135		8	Pavilion Court	Cardigan / Aberteifi	SA43 1BR									
366	-4.6570543	52.0854688	Cranog	1	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
367	-4.6569567	52.085496	Ciliau	2	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
368	-4.6571457	52.0850573	Ashleigh		Napier Street	Cardigan / Aberteifi	SA43 1ED									
369	-4.656967	52.0849277			Napier Street	Cardigan / Aberteifi	SA43 1EH	Freemason's Lodge								
370	-4.6578185	52.0855281			Napier Street	Cardigan / Aberteifi	SA43 1ED	Teifi Furniture						+44 1239 614 446		
371	-4.6590449	52.0858845			Pendre	Cardigan / Aberteifi	SA43 1JU	Highbury Guest House						+44 1239 613 403		
372	-4.6592112	52.0858319			Pendre	Cardigan / Aberteifi	SA43 1JU	Llety Teifi						+44 1239 615 566		
373	-4.6583852	52.0854905	Crown Buildings		Napier Street	Cardigan / Aberteifi	SA43 1ED	Driving Test Centre								
374	-4.6568452	52.0855269	Llys-Teifi	3	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
375	-4.6567483	52.0855509	Glasdir	4	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
376	-4.655735	52.0858617	Cilfallen	9	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
377	-4.6554898	52.0859013	Ynysmeudwy	11	Napier Gardens	Cardigan / Aberteifi	SA43 1EG									
